date_time,Hospitals,Offices,Restaurants,Schools,Shops,SFH,MFH,temperature,signal
 01/07  15:00:00,0.000217335,2.46443E-05,0,6.69909E-05,0,0,0,6.7,68.85
 01/07  16:00:00,0.000234976,4.618E-05,0,7.26617E-05,0,0,0,6.3,68.23
 01/07  17:00:00,0.000213689,6.64178E-05,0,8.63141E-05,0,0,0,5.1,68.46
 01/07  18:00:00,0.000250462,0.000112626,0,9.7656E-05,0,0.000439834,5.7556E-05,4.4,69.97
 01/07  19:00:00,0.000223799,0.000114112,0,9.78146E-05,0,0.000495892,0.00020285,3.8,71.31
 01/07  20:00:00,0.000183923,4.16145E-05,0,4.92019E-05,0,0.000477154,0.000205146,3.2,70.67
 01/07  21:00:00,0.000183611,6.47935E-05,0,6.74982E-05,0,0.000681705,0.000315745,2.6,69.1
 01/07  22:00:00,0.000191452,7.71838E-05,0,7.66535E-05,0,0.00082083,0.00040199,2,64.04
 01/07  23:00:00,0.000193753,9.11878E-05,0,0.000464443,0.000181761,0,5.94726E-06,1.3,62.02
 01/07  24:00:00,0.00015827,0.000817595,0.000447409,0.000482447,0.000181761,0,0.0001214,0.7,60.96
 01/08  01:00:00,0.000179865,0.000824394,0.000458728,0.000506237,0.000181761,0,0.000188217,0,51.08
 01/08  02:00:00,0.000193497,0.000838718,0.00046897,0.000535878,0.000181761,0,0.000231226,-0.8,46.27
 01/08  03:00:00,0.000206832,0.00086067,0.000481239,0.000566349,0.000181761,0,0.000273232,-1.5,45.57
 01/08  04:00:00,0.000217928,0.000876965,0.000491131,0.000588618,0.000181761,0,0.000305768,-1.9,43.77
 01/08  05:00:00,0.000227251,0.000888537,0.00049775,0.000606037,0.000181761,0,0.000331172,-2.3,42.54
 01/08  06:00:00,0.000274889,0.000899281,0.000504372,0.000623596,0.000181761,0,0.000348274,-2.7,46.36
 01/08  07:00:00,0.000301152,0.000221019,2.59556E-06,0.000638471,0.000181761,0.001461947,0.000900244,-3,52.9
 01/08  08:00:00,0.000369207,0.000530188,3.4787E-06,0.000667846,9.44148E-05,0.001165967,0.000672635,-3.3,64.5
 01/08  09:00:00,0.000355783,0.000708167,0.000178415,0.000682466,9.33853E-05,0,0.000158971,-3.1,66.78
 01/08  10:00:00,0.00035818,0.001084647,0.00018726,0.000829199,0.000116386,0,0.000222797,-1.3,68.05
 01/08  11:00:00,0.00033149,0.00112648,0.000189921,0.000668204,0.000101887,0,9.03688E-05,0.6,67.13
